"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "SCSS", "comment", "blank", "total"
"c:\Users\ketan\colon33\src\components\common\SubtoSubServicesCommon\SubtoSubServicesDesc\subtosubservicesdesc.scss", "SCSS", 0, 0, 0, 123, 17, 26, 166
"c:\Users\ketan\colon33\src\components\common\SubtoSubServicesCommon\subtosubservices.scss", "SCSS", 0, 0, 0, 6, 0, 0, 6
"c:\Users\ketan\colon33\src\components\common\casestudy\CaseStudy.jsx", "JavaScript JSX", 0, 0, 23, 0, 1, 2, 26
"c:\Users\ketan\colon33\src\components\common\casestudy\casestudy.scss", "SCSS", 0, 0, 0, 79, 2, 14, 95
"c:\Users\ketan\colon33\src\components\common\connectwithus\Connectwithus.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 2, 18
"c:\Users\ketan\colon33\src\components\common\connectwithus\connectwithus.scss", "SCSS", 0, 0, 0, 25, 1, 3, 29
"c:\Users\ketan\colon33\src\components\dummySlider\DummySlider.jsx", "JavaScript JSX", 0, 0, 117, 0, 14, 8, 139
"c:\Users\ketan\colon33\src\components\dummySlider\dummys.scss", "SCSS", 0, 0, 0, 7, 0, 0, 7
"c:\Users\ketan\colon33\src\index.css", "CSS", 0, 0, 0, 0, 1, 0, 1
"Total", "-", 179, 0, 2536, 518, 91, 278, 3602
